gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance
female,group B,bachelor's degree,standard,none,72,72,74,218,Average
female,group C,some college,standard,completed,69,90,88,247,High Performer
female,group B,master's degree,standard,none,90,95,93,278,High Performer
male,group A,associate's degree,free/reduced,none,47,57,44,148,At Risk
male,group C,some college,standard,none,76,78,75,229,High Performer
female,group B,associate's degree,standard,none,71,83,78,232,High Performer
female,group B,some college,standard,completed,88,95,92,275,High Performer
male,group B,some college,free/reduced,none,40,43,39,122,At Risk
male,group D,high school,free/reduced,completed,64,64,67,195,Average
female,group B,high school,free/reduced,none,38,60,50,148,At Risk
male,group C,associate's degree,standard,none,58,54,52,164,Average
male,group D,associate's degree,standard,none,40,52,43,135,At Risk
female,group B,high school,standard,none,65,81,73,219,Average
male,group A,some college,standard,completed,78,72,70,220,Average
female,group A,master's degree,standard,none,50,53,58,161,Average
female,group C,some high school,standard,none,69,75,78,222,Average
male,group C,high school,standard,none,88,89,86,263,High Performer
female,group B,some high school,free/reduced,none,18,32,28,78,At Risk
male,group C,master's degree,free/reduced,completed,46,42,46,134,At Risk
female,group C,associate's degree,free/reduced,none,54,58,61,173,Average
male,group D,high school,standard,none,66,69,63,198,Average
female,group B,some college,free/reduced,completed,65,75,70,210,Average
male,group D,some college,standard,none,44,54,53,151,Average
female,group C,some high school,standard,none,69,73,73,215,Average
male,group D,bachelor's degree,free/reduced,completed,74,71,80,225,Average
male,group A,master's degree,free/reduced,none,73,74,72,219,Average
male,group B,some college,standard,none,69,54,55,178,Average
female,group C,bachelor's degree,standard,none,67,69,75,211,Average
male,group C,high school,standard,none,70,70,65,205,Average
female,group D,master's degree,standard,none,62,70,75,207,Average
female,group D,some college,standard,none,69,74,74,217,Average
female,group B,some college,standard,none,63,65,61,189,Average
female,group E,master's degree,free/reduced,none,56,72,65,193,Average
male,group D,some college,standard,none,40,42,38,120,At Risk
male,group E,some college,standard,none,97,87,82,266,High Performer
male,group E,associate's degree,standard,completed,81,81,79,241,High Performer
female,group D,associate's degree,standard,none,74,81,83,238,High Performer
female,group D,some high school,free/reduced,none,50,64,59,173,Average
female,group D,associate's degree,free/reduced,completed,75,90,88,253,High Performer
male,group B,associate's degree,free/reduced,none,57,56,57,170,Average
male,group C,associate's degree,free/reduced,none,55,61,54,170,Average
female,group C,associate's degree,standard,none,58,73,68,199,Average
female,group B,associate's degree,standard,none,53,58,65,176,Average
male,group B,some college,free/reduced,completed,59,65,66,190,Average
female,group E,associate's degree,free/reduced,none,50,56,54,160,Average
male,group B,associate's degree,standard,none,65,54,57,176,Average
female,group A,associate's degree,standard,completed,55,65,62,182,Average
female,group C,high school,standard,none,66,71,76,213,Average
female,group D,associate's degree,free/reduced,completed,57,74,76,207,Average
male,group C,high school,standard,completed,82,84,82,248,High Performer
male,group E,some college,standard,none,53,55,48,156,Average
male,group E,associate's degree,free/reduced,completed,77,69,68,214,Average
male,group C,some college,standard,none,53,44,42,139,At Risk
male,group D,high school,standard,none,88,78,75,241,High Performer
female,group C,some high school,free/reduced,completed,71,84,87,242,High Performer
female,group C,high school,free/reduced,none,33,41,43,117,At Risk
female,group E,associate's degree,standard,completed,82,85,86,253,High Performer
male,group D,associate's degree,standard,none,52,55,49,156,Average
male,group D,some college,standard,completed,58,59,58,175,Average
female,group C,some high school,free/reduced,none,0,17,10,27,At Risk
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,Average
male,group A,some high school,free/reduced,none,39,39,34,112,At Risk
male,group A,associate's degree,free/reduced,none,62,61,55,178,Average
female,group C,associate's degree,standard,none,69,80,71,220,Average
female,group D,some high school,standard,none,59,58,59,176,Average
male,group B,some high school,standard,none,67,64,61,192,Average
male,group D,some high school,free/reduced,none,45,37,37,119,At Risk
female,group C,some college,standard,none,60,72,74,206,Average
male,group B,associate's degree,free/reduced,none,61,58,56,175,Average
female,group C,associate's degree,standard,none,39,64,57,160,Average
female,group D,some college,free/reduced,completed,58,63,73,194,Average
male,group D,some college,standard,completed,63,55,63,181,Average
female,group A,associate's degree,free/reduced,none,41,51,48,140,At Risk
male,group C,some high school,free/reduced,none,61,57,56,174,Average
male,group C,some high school,standard,none,49,49,41,139,At Risk
male,group B,associate's degree,free/reduced,none,44,41,38,123,At Risk
male,group E,some high school,standard,none,30,26,22,78,At Risk
male,group A,bachelor's degree,standard,completed,80,78,81,239,High Performer
female,group D,some high school,standard,completed,61,74,72,207,Average
female,group E,master's degree,standard,none,62,68,68,198,Average
female,group B,associate's degree,standard,none,47,49,50,146,At Risk
male,group B,high school,free/reduced,none,49,45,45,139,At Risk
male,group A,some college,free/reduced,completed,50,47,54,151,Average
male,group E,associate's degree,standard,none,72,64,63,199,Average
male,group D,high school,free/reduced,none,42,39,34,115,At Risk
female,group C,some college,standard,none,73,80,82,235,High Performer
female,group C,some college,free/reduced,none,76,83,88,247,High Performer
female,group D,associate's degree,standard,none,71,71,74,216,Average
female,group A,some college,standard,none,58,70,67,195,Average
female,group D,some high school,standard,none,73,86,82,241,High Performer
female,group C,bachelor's degree,standard,none,65,72,74,211,Average
male,group C,high school,free/reduced,none,27,34,36,97,At Risk
male,group C,high school,standard,none,71,79,71,221,Average
male,group C,associate's degree,free/reduced,completed,43,45,50,138,At Risk
female,group B,some college,standard,none,79,86,92,257,High Performer
male,group C,associate's degree,free/reduced,completed,78,81,82,241,High Performer
male,group B,some high school,standard,completed,65,66,62,193,Average
female,group E,some college,standard,completed,63,72,70,205,Average
female,group D,some college,free/reduced,none,58,67,62,187,Average
female,group D,bachelor's degree,standard,none,65,67,62,194,Average
male,group B,some college,standard,none,79,67,67,213,Average
male,group D,bachelor's degree,standard,completed,68,74,74,216,Average
female,group D,associate's degree,standard,none,85,91,89,265,High Performer
male,group B,high school,standard,completed,60,44,47,151,Average
male,group C,some college,standard,completed,98,86,90,274,High Performer
female,group C,some college,standard,none,58,67,72,197,Average
female,group D,master's degree,standard,none,87,100,100,287,High Performer
male,group E,associate's degree,standard,completed,66,63,64,193,Average
female,group B,associate's degree,free/reduced,none,52,76,70,198,Average
female,group B,some high school,standard,none,70,64,72,206,Average
female,group D,associate's degree,free/reduced,completed,77,89,98,264,High Performer
male,group C,high school,standard,none,62,55,49,166,Average
male,group A,associate's degree,standard,none,54,53,47,154,Average
female,group D,some college,standard,none,51,58,54,163,Average
female,group E,bachelor's degree,standard,completed,99,100,100,299,High Performer
male,group C,high school,standard,none,84,77,74,235,High Performer
female,group B,bachelor's degree,free/reduced,none,75,85,82,242,High Performer
female,group D,bachelor's degree,standard,none,78,82,79,239,High Performer
female,group D,some high school,standard,none,51,63,61,175,Average
female,group C,some college,standard,none,55,69,65,189,Average
female,group C,bachelor's degree,standard,completed,79,92,89,260,High Performer
male,group B,associate's degree,standard,completed,91,89,92,272,High Performer
female,group C,some college,standard,completed,88,93,93,274,High Performer
male,group D,high school,free/reduced,none,63,57,56,176,Average
male,group E,some college,standard,none,83,80,73,236,High Performer
female,group B,high school,standard,none,87,95,86,268,High Performer
male,group B,some high school,standard,none,72,68,67,207,Average
male,group D,some college,standard,completed,65,77,74,216,Average
male,group D,master's degree,standard,none,82,82,74,238,High Performer
female,group A,bachelor's degree,standard,none,51,49,51,151,Average
male,group D,master's degree,standard,none,89,84,82,255,High Performer
male,group C,some high school,free/reduced,completed,53,37,40,130,At Risk
male,group E,some college,free/reduced,completed,87,74,70,231,High Performer
female,group C,some college,standard,completed,75,81,84,240,High Performer
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,High Performer
male,group C,bachelor's degree,standard,none,58,55,48,161,Average
male,group B,some high school,standard,completed,51,54,41,146,At Risk
male,group E,high school,standard,none,70,55,56,181,Average
female,group C,associate's degree,standard,none,59,66,67,192,Average
male,group D,some college,standard,completed,71,61,69,201,Average
female,group D,some high school,standard,none,76,72,71,219,Average
female,group C,some college,free/reduced,none,59,62,64,185,Average
female,group E,some college,free/reduced,completed,42,55,54,151,Average
male,group A,high school,standard,none,57,43,47,147,At Risk
male,group D,some college,standard,none,88,73,78,239,High Performer
female,group C,some college,free/reduced,none,22,39,33,94,At Risk
male,group B,some high school,standard,none,88,84,75,247,High Performer
male,group C,associate's degree,free/reduced,none,73,68,66,207,Average
female,group D,bachelor's degree,standard,completed,68,75,81,224,Average
male,group E,associate's degree,free/reduced,completed,100,100,93,293,High Performer
male,group A,some high school,standard,completed,62,67,69,198,Average
male,group A,bachelor's degree,standard,none,77,67,68,212,Average
female,group B,associate's degree,standard,completed,59,70,66,195,Average
male,group D,bachelor's degree,standard,none,54,49,47,150,At Risk
male,group D,some high school,standard,none,62,67,61,190,Average
female,group C,some college,standard,completed,70,89,88,247,High Performer
female,group E,high school,free/reduced,completed,66,74,78,218,Average
male,group B,some college,free/reduced,none,60,60,60,180,Average
female,group B,associate's degree,standard,completed,61,86,87,234,High Performer
male,group D,associate's degree,free/reduced,none,66,62,64,192,Average
male,group B,associate's degree,free/reduced,completed,82,78,74,234,High Performer
female,group E,some college,free/reduced,completed,75,88,85,248,High Performer
male,group B,master's degree,free/reduced,none,49,53,52,154,Average
male,group C,high school,standard,none,52,53,49,154,Average
female,group E,master's degree,standard,none,81,92,91,264,High Performer
female,group C,bachelor's degree,standard,completed,96,100,100,296,High Performer
male,group C,high school,free/reduced,completed,53,51,51,155,Average
female,group B,master's degree,free/reduced,completed,58,76,78,212,Average
female,group B,high school,standard,completed,68,83,78,229,High Performer
female,group C,some college,free/reduced,completed,67,75,70,212,Average
male,group A,high school,standard,completed,72,73,74,219,Average
male,group E,some high school,standard,none,94,88,78,260,High Performer
female,group D,some college,standard,none,79,86,81,246,High Performer
female,group C,associate's degree,standard,none,63,67,70,200,Average
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,At Risk
female,group C,master's degree,standard,completed,81,91,87,259,High Performer
female,group B,high school,free/reduced,completed,46,54,58,158,Average
female,group C,associate's degree,standard,completed,71,77,77,225,Average
female,group B,master's degree,free/reduced,completed,52,70,62,184,Average
female,group D,some high school,standard,completed,97,100,100,297,High Performer
male,group C,master's degree,free/reduced,completed,62,68,75,205,Average
female,group C,some college,free/reduced,none,46,64,66,176,Average
female,group E,high school,standard,none,50,50,47,147,At Risk
female,group D,associate's degree,standard,none,65,69,70,204,Average
male,group C,some high school,free/reduced,completed,45,52,49,146,At Risk
male,group C,associate's degree,free/reduced,completed,65,67,65,197,Average
male,group E,high school,standard,none,80,76,65,221,Average
male,group D,some high school,standard,completed,62,66,68,196,Average
male,group B,some high school,free/reduced,none,48,52,45,145,At Risk
female,group C,bachelor's degree,standard,none,77,88,87,252,High Performer
female,group E,associate's degree,standard,none,66,65,69,200,Average
male,group D,some college,standard,completed,76,83,79,238,High Performer
female,group B,some high school,standard,none,62,64,66,192,Average
male,group D,some college,standard,completed,77,62,62,201,Average
female,group C,master's degree,standard,completed,69,84,85,238,High Performer
male,group D,associate's degree,standard,none,61,55,52,168,Average
male,group C,some high school,free/reduced,completed,59,69,65,193,Average
male,group E,high school,free/reduced,none,55,56,51,162,Average
female,group B,some college,free/reduced,none,45,53,55,153,Average
female,group B,bachelor's degree,free/reduced,none,78,79,76,233,High Performer
female,group C,associate's degree,standard,completed,67,84,86,237,High Performer
female,group D,some college,free/reduced,none,65,81,77,223,Average
male,group C,associate's degree,standard,none,69,77,69,215,Average
female,group B,associate's degree,standard,none,57,69,68,194,Average
male,group C,some college,standard,none,59,41,42,142,At Risk
male,group D,some high school,standard,completed,74,71,78,223,Average
male,group E,bachelor's degree,standard,none,82,62,62,206,Average
male,group E,high school,standard,completed,81,80,76,237,High Performer
female,group B,some college,free/reduced,none,74,81,76,231,High Performer
female,group B,some college,free/reduced,none,58,61,66,185,Average
male,group D,some high school,free/reduced,completed,80,79,79,238,High Performer
male,group C,some college,free/reduced,none,35,28,27,90,At Risk
female,group C,high school,free/reduced,none,42,62,60,164,Average
male,group C,associate's degree,free/reduced,completed,60,51,56,167,Average
male,group E,high school,standard,completed,87,91,81,259,High Performer
male,group B,some high school,standard,completed,84,83,75,242,High Performer
female,group E,associate's degree,free/reduced,completed,83,86,88,257,High Performer
female,group C,high school,free/reduced,none,34,42,39,115,At Risk
male,group B,high school,free/reduced,none,66,77,70,213,Average
male,group B,some high school,standard,completed,61,56,56,173,Average
female,group D,high school,standard,completed,56,68,74,198,Average
male,group B,associate's degree,standard,none,87,85,73,245,High Performer
female,group C,some high school,free/reduced,none,55,65,62,182,Average
male,group D,some high school,standard,none,86,80,75,241,High Performer
female,group B,associate's degree,standard,completed,52,66,73,191,Average
female,group E,master's degree,free/reduced,none,45,56,54,155,Average
female,group C,some college,standard,none,72,72,71,215,Average
male,group D,high school,standard,none,57,50,54,161,Average
male,group A,some high school,free/reduced,none,68,72,64,204,Average
female,group C,some college,standard,completed,88,95,94,277,High Performer
male,group D,some college,standard,none,76,64,66,206,Average
male,group C,associate's degree,standard,none,46,43,42,131,At Risk
female,group B,bachelor's degree,standard,none,67,86,83,236,High Performer
male,group E,some high school,standard,none,92,87,78,257,High Performer
male,group C,bachelor's degree,standard,completed,83,82,84,249,High Performer
male,group D,associate's degree,standard,none,80,75,77,232,High Performer
male,group D,bachelor's degree,free/reduced,none,63,66,67,196,Average
female,group D,some high school,standard,completed,64,60,74,198,Average
male,group B,some college,standard,none,54,52,51,157,Average
male,group C,associate's degree,standard,none,84,80,80,244,High Performer
male,group D,high school,free/reduced,completed,73,68,66,207,Average
female,group E,bachelor's degree,standard,none,80,83,83,246,High Performer
female,group D,high school,standard,none,56,52,55,163,Average
male,group E,some college,standard,none,59,51,43,153,Average
male,group D,some high school,standard,none,75,74,69,218,Average
male,group C,associate's degree,standard,none,85,76,71,232,High Performer
male,group E,associate's degree,standard,none,89,76,74,239,High Performer
female,group B,high school,standard,completed,58,70,68,196,Average
female,group B,high school,standard,none,65,64,62,191,Average
male,group C,high school,standard,none,68,60,53,181,Average
male,group A,some high school,standard,completed,47,49,49,145,At Risk
female,group D,some college,free/reduced,none,71,83,83,237,High Performer
female,group B,some high school,standard,completed,60,70,70,200,Average
male,group D,master's degree,standard,none,80,80,72,232,High Performer
male,group D,high school,standard,none,54,52,52,158,Average
female,group E,some college,standard,none,62,73,70,205,Average
female,group C,associate's degree,free/reduced,none,64,73,68,205,Average
male,group C,associate's degree,standard,completed,78,77,77,232,High Performer
female,group B,some college,standard,none,70,75,78,223,Average
female,group C,master's degree,free/reduced,completed,65,81,81,227,High Performer
female,group C,some high school,free/reduced,completed,64,79,77,220,Average
male,group C,some college,standard,completed,79,79,78,236,High Performer
female,group C,some high school,free/reduced,none,44,50,51,145,At Risk
female,group E,high school,standard,none,99,93,90,282,High Performer
male,group D,high school,standard,none,76,73,68,217,Average
male,group D,some high school,free/reduced,none,59,42,41,142,At Risk
female,group C,bachelor's degree,standard,none,63,75,81,219,Average
female,group D,high school,standard,none,69,72,77,218,Average
female,group D,associate's degree,standard,completed,88,92,95,275,High Performer
female,group E,some college,free/reduced,none,71,76,70,217,Average
male,group C,bachelor's degree,standard,none,69,63,61,193,Average
male,group C,some college,standard,none,58,49,42,149,At Risk
female,group D,associate's degree,free/reduced,none,47,53,58,158,Average
female,group D,some college,standard,none,65,70,71,206,Average
male,group B,some college,standard,completed,88,85,76,249,High Performer
male,group C,bachelor's degree,standard,none,83,78,73,234,High Performer
female,group C,some high school,standard,completed,85,92,93,270,High Performer
female,group E,high school,standard,completed,59,63,75,197,Average
female,group C,some high school,free/reduced,none,65,86,80,231,High Performer
male,group B,bachelor's degree,free/reduced,none,73,56,57,186,Average
male,group D,high school,standard,none,53,52,42,147,At Risk
male,group D,high school,standard,none,45,48,46,139,At Risk
female,group D,bachelor's degree,free/reduced,none,73,79,84,236,High Performer
female,group D,some college,free/reduced,completed,70,78,78,226,High Performer
female,group B,some high school,standard,none,37,46,46,129,At Risk
male,group B,associate's degree,standard,completed,81,82,82,245,High Performer
male,group E,associate's degree,standard,completed,97,82,88,267,High Performer
female,group B,some high school,standard,none,67,89,82,238,High Performer
male,group B,bachelor's degree,free/reduced,none,88,75,76,239,High Performer
male,group E,some high school,standard,completed,77,76,77,230,High Performer
male,group C,associate's degree,standard,none,76,70,68,214,Average
male,group D,some high school,standard,none,86,73,70,229,High Performer
male,group C,some high school,standard,completed,63,60,57,180,Average
female,group E,bachelor's degree,standard,none,65,73,75,213,Average
male,group D,high school,free/reduced,completed,78,77,80,235,High Performer
male,group B,associate's degree,free/reduced,none,67,62,60,189,Average
male,group A,some high school,standard,completed,46,41,43,130,At Risk
male,group E,associate's degree,standard,completed,71,74,68,213,Average
male,group C,high school,free/reduced,completed,40,46,50,136,At Risk
male,group D,associate's degree,free/reduced,none,90,87,75,252,High Performer
male,group A,some college,free/reduced,completed,81,78,81,240,High Performer
male,group D,some high school,free/reduced,none,56,54,52,162,Average
female,group C,associate's degree,standard,completed,67,84,81,232,High Performer
male,group B,associate's degree,standard,none,80,76,64,220,Average
female,group C,associate's degree,standard,completed,74,75,83,232,High Performer
male,group A,some college,standard,none,69,67,69,205,Average
male,group E,some college,standard,completed,99,87,81,267,High Performer
